Geo ref order,Category,ParentRegion,Name,Area Code,Median income,Mean income,Income,Rent,Annual rent,Rent as a share of income,Days through the year,Day of the year
265,County,South East,Winchester,E07000094,,41457,41457,1200,14400,0.35,126.87,05/07/2024
246,County,South East,Windsor and Maidenhead,E06000040,,42972,42972,1400,16800,0.39,142.8,5/23/2024
296,County,South East,Woking,E07000217,36166,43084,36166,1275,15300,0.42,154.52,06/04/2024
247,County,South East,Wokingham,E06000041,,45777,45777,1260,15120,0.33,120.64,05/01/2024
304,County,South East,Worthing,E07000229,30542,33661,30542,990,11880,0.39,142.07,5/23/2024
306,County,South West,Bath and North East Somerset,E06000022,29451,38512,29451,1100,13200,0.45,163.71,6/13/2024
307,County,South West,"Bournemouth, Christchurch and Poole",E06000058,28805,33486,28805,968,11616,0.4,147.29,5/28/2024
308,County,South West,"Bristol, City of",E06000023,30867,34598,30867,1300,15600,0.51,184.6,07/04/2024
328,County,South West,Cheltenham,E07000078,31067,36718,31067,900,10800,0.35,126.97,05/07/2024
315,County,South West,Cornwall,E06000052,27153,29804,27153,775,9300,0.34,125.1,05/06/2024
329,County,South West,Cotswold,E07000079,29573,36201,29573,1000,12000,0.41,148.21,5/29/2024
318,County,South West,Devon,E10000008,26336,29378,26336,795,9540,0.36,132.31,5/13/2024
309,County,South West,Dorset,E06000059,28913,33180,28913,850,10200,0.35,128.85,05/09/2024
319,County,South West,East Devon,E07000040,28513,32779,28513,800,9600,0.34,122.98,05/03/2024
320,County,South West,Exeter,E07000041,27397,30990,27397,900,10800,0.39,143.98,5/24/2024
330,County,South West,Forest of Dean,E07000080,31191,32119,31191,695,8340,0.27,97.66,04/08/2024
331,County,South West,Gloucester,E07000081,27653,31895,27653,795,9540,0.34,126.01,05/07/2024
327,County,South West,Gloucestershire,E10000013,29685,33828,29685,850,10200,0.34,125.5,05/06/2024
316,County,South West,Isles of Scilly,E06000053,,,,730,8760,,,
321,County,South West,Mid Devon,E07000042,,,,795,9540,,,
322,County,South West,North Devon,E07000043,,,,695,8340,,,
310,County,South West,North Somerset,E06000024,31029,34908,31029,900,10800,0.35,127.13,05/08/2024
311,County,South West,Plymouth,E06000026,26820,29140,26820,695,8340,0.31,113.58,4/24/2024
334,County,South West,Somerset,E06000066,26563,30729,26563,,,,,
312,County,South West,South Gloucestershire,E06000025,30894,34666,30894,1150,13800,0.45,163.15,6/13/2024
323,County,South West,South Hams,E07000044,25971,29967,25971,850,10200,0.39,143.45,5/24/2024
332,County,South West,Stroud,E07000082,30382,34085,30382,825,9900,0.33,119.02,4/30/2024
313,County,South West,Swindon,E06000030,31683,37034,31683,825,9900,0.31,114.13,4/25/2024
324,County,South West,Teignbridge,E07000045,25415,28988,25415,795,9540,0.38,137.1,5/18/2024
333,County,South West,Tewkesbury,E07000083,27849,31987,27849,850,10200,0.37,133.78,5/14/2024
314,County,South West,Torbay,E06000027,25422,28337,25422,678,8136,0.32,116.89,4/27/2024
325,County,South West,Torridge,E07000046,,,,695,8340,,,
326,County,South West,West Devon,E07000047,22297,23740,22297,750,9000,0.4,147.43,5/28/2024
317,County,South West,Wiltshire,E06000054,29999,34717,29999,850,10200,0.34,124.19,05/05/2024
133,County,West Midlands,Birmingham,E08000025,27175,30999,27175,850,10200,0.38,137.09,5/18/2024
141,County,West Midlands,Bromsgrove,E07000234,32839,38900,32839,795,9540,0.29,106.11,4/17/2024
118,County,West Midlands,Cannock Chase,E07000192,26812,28336,26812,695,8340,0.31,113.61,4/24/2024
134,County,West Midlands,Coventry,E08000026,29476,,29476,800,9600,0.33,118.96,4/29/2024
135,County,West Midlands,Dudley,E08000027,27389,29957,27389,700,8400,0.31,112.02,4/23/2024
119,County,West Midlands,East Staffordshire,E07000193,28130,32997,28130,669,8028,0.29,104.24,4/15/2024
113,County,West Midlands,Herefordshire,E06000019,26332,29327,26332,678,8136,0.31,112.85,4/23/2024
120,County,West Midlands,Lichfield,E07000194,,,,850,10200,,,
142,County,West Midlands,Malvern Hills,E07000235,31276,35522,31276,778,9336,0.3,109.03,4/20/2024
121,County,West Midlands,Newcastle-under-Lyme,E07000195,27114,29770,27114,600,7200,0.27,96.99,04/07/2024
127,County,West Midlands,North Warwickshire,E07000218,32009,37792,32009,750,9000,0.28,102.7,4/13/2024
128,County,West Midlands,Nuneaton and Bedworth,E07000219,26882,29157,26882,675,8100,0.3,110.06,4/21/2024
143,County,West Midlands,Redditch,E07000236,26387,30834,26387,750,9000,0.34,124.58,05/05/2024
129,County,West Midlands,Rugby,E07000220,33025,35090,33025,775,9300,0.28,102.86,4/13/2024
136,County,West Midlands,Sandwell,E08000028,26274,27929,26274,750,9000,0.34,125.11,05/06/2024
116,County,West Midlands,Shropshire,E06000051,27324,31169,27324,695,8340,0.31,111.48,4/22/2024
137,County,West Midlands,Solihull,E08000029,33527,37767,33527,950,11400,0.34,124.19,05/05/2024
122,County,West Midlands,South Staffordshire,E07000196,31770,34024,31770,750,9000,0.28,103.47,4/14/2024
123,County,West Midlands,Stafford,E07000197,32764,37930,32764,675,8100,0.25,90.3,04/01/2024
117,County,West Midlands,Staffordshire,E10000028,29707,33801,29707,695,8340,0.28,102.54,4/13/2024
124,County,West Midlands,Staffordshire Moorlands,E07000198,30467,35487,30467,575,6900,0.23,82.72,3/24/2024
114,County,West Midlands,Stoke-on-Trent,E06000021,25975,27530,25975,525,6300,0.24,88.59,3/30/2024
130,County,West Midlands,Stratford-on-Avon,E07000221,,39953,39953,893,10716,0.27,97.97,04/08/2024
125,County,West Midlands,Tamworth,E07000199,30000,32208,30000,750,9000,0.3,109.58,4/20/2024
115,County,West Midlands,Telford and Wrekin,E06000020,29135,30701,29135,650,7800,0.27,97.78,04/08/2024
138,County,West Midlands,Walsall,E08000030,26442,,26442,695,8340,0.32,115.2,4/26/2024
131,County,West Midlands,Warwick,E07000222,34623,40795,34623,945,11340,0.33,119.63,4/30/2024
126,County,West Midlands,Warwickshire,E10000031,30633,36464,30633,850,10200,0.33,121.62,05/02/2024
132,County,West Midlands,West Midlands Met County,E11000005,27519,33163,27519,800,9600,0.35,127.42,05/08/2024
139,County,West Midlands,Wolverhampton,E08000031,26282,29905,26282,675,8100,0.31,112.57,4/23/2024
144,County,West Midlands,Worcester,E07000237,,34431,34431,725,8700,0.25,92.29,04/03/2024
140,County,West Midlands,Worcestershire,E10000034,29452,33786,29452,750,9000,0.31,111.61,4/22/2024
145,County,West Midlands,Wychavon,E07000238,28646,32415,28646,795,9540,0.33,121.64,05/02/2024
146,County,West Midlands,Wyre Forest,E07000239,26730,30625,26730,655,7860,0.29,107.4,4/18/2024
62,County,Yorkshire and The Humber,Barnsley,E08000016,27189,30391,27189,525,6300,0.23,84.63,3/26/2024
67,County,Yorkshire and The Humber,Bradford,E08000032,26216,31926,26216,595,7140,0.27,99.48,04/10/2024
68,County,Yorkshire and The Humber,Calderdale,E08000033,26752,31536,26752,590,7080,0.26,96.66,04/07/2024
63,County,Yorkshire and The Humber,Doncaster,E08000017,27772,31870,27772,540,6480,0.23,85.22,3/27/2024
55,County,Yorkshire and The Humber,East Riding of Yorkshire,E06000011,29718,32392,29718,595,7140,0.24,87.75,3/29/2024
56,County,Yorkshire and The Humber,Kingston upon Hull,E06000010,25396,27118,25396,483,5796,0.23,83.36,3/25/2024
69,County,Yorkshire and The Humber,Kirklees,E08000034,27329,30100,27329,625,7500,0.27,100.24,04/11/2024
70,County,Yorkshire and The Humber,Leeds,E08000035,29000,32817,29000,850,10200,0.35,128.47,05/09/2024
57,County,Yorkshire and The Humber,North East Lincolnshire,E06000012,,32745,32745,525,6300,0.19,70.27,03/12/2024
58,County,Yorkshire and The Humber,North Lincolnshire,E06000013,27244,32714,27244,560,6720,0.25,90.09,04/01/2024
60,County,Yorkshire and The Humber,North Yorkshire,E06000065,27867,33047,27867,,,,,
64,County,Yorkshire and The Humber,Rotherham,E08000018,26188,30545,26188,555,6660,0.25,92.89,04/03/2024
65,County,Yorkshire and The Humber,Sheffield,E08000019,28373,31586,28373,700,8400,0.3,108.13,4/19/2024
61,County,Yorkshire and The Humber,South Yorkshire Met County,E11000003,27535,31225,27535,600,7200,0.26,95.51,04/06/2024
71,County,Yorkshire and The Humber,Wakefield,E08000036,26423,29745,26423,650,7800,0.3,107.82,4/18/2024
66,County,Yorkshire and The Humber,West Yorkshire Met County,E11000006,27593,31516,27593,700,8400,0.3,111.19,4/22/2024
59,County,Yorkshire and The Humber,York,E06000014,28592,33144,28592,875,10500,0.37,134.13,5/15/2024
